Name,Age,Birth,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,Unnamed: 28
Fernando Tatis Jr.,24.0,do DO,R,R,"6' 3""",217,2-Jan-99,4,141,140,141,139,0,0,0,1,0,0,0,5,137,139,3,1,0,5.5,"$7,714,285 ",
Michael Wacha,31.0,us US,R,R,"6' 6""",215,1-Jul-91,11,24,24,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,2.5,"$7,500,000 ",
Matt Waldron,26.0,us US,R,R,"6' 2""",185,26-Sep-96,1st,8,6,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0.2,,
Ryan Weathers,23.0,us US,R,L,"6' 1""",230,17-Dec-99,4,12,10,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,"$727,600 ",
Steven Wilson,28.0,us US,R,R,"6' 3""",221,24-Aug-94,2,52,0,0,52,52,0,0,0,0,0,0,0,0,0,0,0,0,0.3,"$726,400 ",
Jackson Wolf,24.0,us US,L,L,"6' 7""",205,22-Apr-99,1st,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,
Abraham Almonte,34.0,do DO,B,R,"5' 10""",223,27-Jun-89,11,8,3,8,2,0,0,0,0,0,0,1,0,1,2,3,5,0,-0.3,,
Pete Alonso,28.0,us US,R,R,"6' 3""",245,7-Dec-94,5,154,154,154,145,0,0,145,0,0,0,0,0,0,0,9,0,0,3.2,"$14,500,000 ",All-Star
Francisco Alvarez,21.0,ve VE,R,R,"5' 10""",233,19-Nov-01,2,123,103,123,108,0,108,0,0,0,0,0,0,0,0,7,16,2,1.0,,
Jonathan Araúz,24.0,pa PA,B,R,"6' 0""",195,3-Aug-98,4,27,17,27,27,0,0,0,7,15,5,0,0,0,0,0,1,0,-0.3,,
Brett Baty,23.0,us US,L,R,"6' 2""",210,13-Nov-99,2,108,98,108,101,0,0,0,0,100,0,1,0,0,1,4,8,0,-0.8,,
Phil Bickford,27.0,us US,R,R,"6' 4""",200,10-Jul-95,4,25,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,
Jeff Brigham,31.0,us US,R,R,"6' 0""",195,16-Feb-92,5,37,0,0,37,37,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,"$760,000 ",
José Buttó,25.0,ve VE,R,R,"6' 1""",202,19-Mar-98,2,9,7,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0.8,,
Mark Canha,34.0,us US,R,R,"6' 2""",209,15-Feb-89,9,89,75,89,72,0,0,13,0,4,0,52,0,13,60,15,8,2,1.2,,
Carlos Carrasco,36.0,ve VE,R,R,"6' 4""",224,21-Mar-87,14,20,20,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,-1.3,"$14,000,000 ",
Sam Coonrod,30.0,us US,R,R,"6' 1""",225,22-Sep-92,5,10,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,,
John Curtiss,30.0,us US,R,R,"6' 5""",220,5-Apr-93,6,15,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.1,"$775,000 ",
Eduardo Escobar,34.0,ve VE,B,R,"5' 10""",199,5-Jan-89,13,40,32,40,35,0,0,0,9,29,1,0,0,0,0,4,3,2,0.1,,
Reed Garrett,30.0,us US,R,R,"6' 2""",195,2-Jan-93,3,9,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,
Trevor Gott,30.0,us US,R,R,"5' 11""",185,26-Aug-92,8,34,0,0,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,
Luis Guillorme,28.0,ve VE,L,R,"5' 10""",190,27-Sep-94,6,54,29,54,49,1,0,0,29,14,9,0,0,0,0,0,9,0,-0.1,"$1,600,000 ",
Grant Hartwig,25.0,us US,R,R,"6' 5""",235,18-Dec-97,1st,28,0,0,28,28,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,,
Tommy Hunter,36.0,us US,R,R,"6' 3""",250,3-Jul-86,16,14,0,2,14,14,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,"$686,857 ",
Anthony Kay,28.0,us US,L,L,"6' 0""",225,21-Mar-95,5,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,
Adam Kolarek,34.0,us US,L,L,"6' 3""",215,14-Jan-89,7,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.2,,
Dominic Leone,31.0,us US,R,R,"5' 10""",215,26-Oct-91,10,31,0,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0.2,,
Francisco Lindor,29.0,pr PR,B,R,"5' 11""",190,14-Nov-93,9,160,159,160,158,0,0,0,0,0,158,0,0,0,0,1,1,0,6.0,"$34,100,000 ",
Tim Locastro,30.0,us US,R,R,"6' 1""",200,14-Jul-92,7,43,18,43,33,0,0,0,0,0,0,27,5,1,33,5,4,11,0.4,"$1,400,000 ",
Joey Lucchesi,30.0,us US,L,L,"6' 5""",225,6-Jun-93,5,9,9,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,1.1,"$1,150,000 ",
Starling Marte,34.0,do DO,R,R,"6' 1""",195,9-Oct-88,12,86,82,86,85,0,0,0,0,0,0,0,1,84,85,0,1,2,-0.8,"$20,750,000 ",
Ronny Mauricio,22.0,do DO,B,R,"6' 3""",166,4-Apr-01,1st,26,26,26,26,0,0,0,21,5,2,0,0,0,0,0,0,0,0.2,,
T.J. McFarland,34.0,us US,L,L,"6' 3""",200,8-Jun-89,11,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,"$375,487 ",
Jeff McNeil,31.0,us US,L,R,"6' 1""",195,8-Apr-92,6,156,151,156,155,0,0,1,107,0,1,32,3,41,68,0,5,0,2.4,"$6,250,000 ",
Tylor Megill,27.0,us US,R,R,"6' 7""",230,28-Jul-95,3,25,25,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0.7,,
Danny Mendick,29.0,us US,R,R,"5' 10""",195,28-Sep-93,5,35,19,33,31,2,0,0,16,9,0,4,0,0,4,3,6,3,-1.1,"$1,000,000 ",
Tyson Miller,27.0,us US,R,R,"6' 5""",220,29-Jul-95,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,
Zach Muckenhirn,28.0,us US,L,L,"6' 0""",205,27-Feb-95,1st,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,
Omar Narváez,31.0,ve VE,L,R,"5' 11""",220,10-Feb-92,8,49,40,49,47,0,47,0,0,0,0,0,0,0,0,0,3,0,0.0,"$8,000,000 ",
Tomás Nido,29.0,pr PR,R,R,"5' 11""",211,12-Apr-94,7,22,18,22,21,0,21,0,0,0,0,0,0,0,0,0,1,0,-0.8,"$1,600,000 ",
Brandon Nimmo,30.0,us US,L,R,"6' 3""",206,27-Mar-93,8,152,150,152,146,0,0,0,0,0,0,10,136,0,146,5,2,0,3.9,"$18,500,000 ",
Vinny Nittoli,32.0,us US,R,R,"6' 1""",210,11-Nov-90,3,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,
Stephen Nogosek,28.0,us US,R,R,"6' 2""",205,11-Jan-95,4,13,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,"$730,000 ",
Rafael Ortega,32.0,ve VE,L,R,"5' 11""",200,15-May-91,7,47,34,47,42,0,0,0,0,0,0,19,25,7,42,2,4,5,0.2,,
Adam Ottavino,37.0,us US,B,R,"6' 5""",246,22-Nov-85,13,66,0,0,66,66,0,0,0,0,0,0,0,0,0,0,0,0,1.2,"$7,250,000 ",
Michael Pérez,30.0,pr PR,L,R,"5' 10""",195,7-Aug-92,6,3,2,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0.3,,
David Peterson,27.0,us US,L,L,"6' 6""",240,3-Sep-95,4,27,21,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0.5,"$750,000 ",
Tommy Pham,35.0,us US,R,R,"6' 1""",223,8-Mar-88,10,79,63,79,55,0,0,0,0,0,0,51,7,0,55,20,11,4,1.2,"$6,000,000 ",
Jose Quintana,34.0,co CO,R,L,"6' 1""",220,24-Jan-89,12,13,13,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,1.7,"$13,000,000 ",
Brooks Raley,35.0,us US,L,L,"6' 3""",200,29-Jun-88,6,66,0,1,66,66,0,0,0,0,0,0,0,0,0,0,0,0,1.3,"$4,500,000 ",
Sean Reid-Foley,27.0,gu GU,R,R,"6' 3""",230,30-Aug-95,6,8,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,
Denyi Reyes,26.0,do DO,R,R,"6' 4""",255,2-Nov-96,2,9,3,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,,
David Robertson,38.0,us US,R,R,"5' 11""",195,9-Apr-85,15,40,0,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0,1.9,"$10,000,000 ",
Gary Sánchez,30.0,do DO,R,R,"6' 2""",258,2-Dec-92,9,3,2,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,-0.1,,
Dennis Santana,27.0,do DO,R,R,"6' 2""",190,12-Apr-96,6,9,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,
Max Scherzer,38.0,us US,R,R,"6' 3""",208,27-Jul-84,16,19,19,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,2.1,,
Kodai Senga,30.0,jp JP,L,R,"6' 1""",202,30-Jan-93,1st,29,29,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,4.5,"$15,000,000 ",All-Star
Drew Smith,29.0,us US,R,R,"6' 2""",190,24-Sep-93,5,63,0,0,63,63,0,0,0,0,0,0,0,0,0,0,0,0,0.1,"$1,300,000 ",
DJ Stewart,29.0,us US,L,R,"6' 0""",210,30-Nov-93,6,58,45,58,48,0,0,0,0,0,0,4,0,44,48,7,5,3,0.3,,
Edwin Uceta,25.0,do DO,R,R,"6' 0""",155,9-Jan-98,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,
Justin Verlander,40.0,us US,R,R,"6' 5""",235,20-Feb-83,18,16,16,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,2.2,,
Mark Vientos,23.0,us US,R,R,"6' 4""",185,11-Dec-99,2,65,60,65,28,0,0,10,0,19,0,0,0,0,0,38,5,0,-1.1,,
Daniel Vogelbach,30.0,us US,L,R,"6' 0""",270,17-Dec-92,8,104,78,104,0,0,0,0,0,0,0,0,0,0,0,86,26,0,0.2,"$1,500,000 ",
Josh Walker,28.0,us US,L,L,"6' 6""",225,1-Dec-94,1st,14,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,,
Jimmy Yacabonis,31.0,us US,R,R,"6' 3""",225,21-Mar-92,6,7,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,,
